time,X_value,Y_value,Z_value
Started:,Aug. 22 2018,10:12:37:936, 
1.4042,-0.59676,-0.73561,10.16458
1.4090,-0.70210,-0.86490,9.64743
1.4131,-0.69252,-0.94151,9.90601
1.4180,-0.65900,-1.14262,9.83418
1.4220,-0.14664,-1.18573,9.67616
1.4264,-0.19452,-1.20967,10.10233
1.4314,-0.18974,-1.07080,9.95868
1.4359,-0.08440,-0.88405,9.74319
1.4405,-0.16580,-0.59196,10.04008
1.4442,0.08798,-0.53929,9.85333
1.4479,0.12149,-0.47226,9.86290
1.4609,-0.03653,-0.62070,10.01135
1.4609,-0.29030,-0.71167,9.89163
1.4615,-0.56802,-0.68773,9.73840
1.4655,-0.47704,-0.73082,9.55167
1.4711,-0.39565,-0.97504,9.83896
1.4744,-0.57759,-0.85533,9.92036
1.4786,-0.17058,-0.73561,9.86290
1.4832,-0.19931,-0.76434,10.02092
1.4881,-0.32381,-0.90321,9.78629
1.4914,-0.30466,-1.13306,9.92516
1.4960,-0.28072,-1.30544,10.05444
1.5006,-0.22804,-1.32458,10.04008
1.5050,-0.42915,-1.44431,10.01613
1.5094,-0.24242,-1.54486,10.15500
1.5140,-0.08440,-1.32458,9.68573
1.5184,0.16460,-1.09474,9.81981
1.5234,0.02094,-0.88884,9.91080
1.5277,0.38486,-0.44830,9.92036
1.5319,-0.11790,-0.50577,10.10712
1.5359,-0.46268,-0.39085,9.80545
1.5408,-0.52493,-0.65900,10.28908
1.5449,-0.83139,-0.57759,9.65222
1.5495,-0.85533,-0.70688,9.92995
1.5541,-0.77872,-0.78828,9.97783
1.5589,-0.64464,-0.83138,9.95389
1.5638,-0.24719,-0.85054,9.83418
1.5673,0.28909,-0.87927,9.96825
1.5736,-0.07961,-0.59196,10.10712
1.5753,0.00179,-0.74040,10.12627
1.5991,-0.00301,-0.63026,9.93474
1.5992,0.47583,-0.53929,9.64743
1.5992,-0.09875,-0.65900,9.98741
1.5992,-0.32860,-0.85054,9.81024
1.5998,0.15501,-0.81702,10.06403
1.6023,0.28909,-0.74519,9.55644
1.6062,0.23163,-1.03250,9.88206
1.6113,-0.02216,-1.02292,10.00177
1.6147,-0.32860,-1.14742,10.05923
1.6194,-0.34297,-1.00377,10.03529
1.6235,-0.26157,-0.96066,9.64743
1.6289,-0.32381,-1.22882,10.11191
1.6322,-0.04131,-0.96545,9.80066
1.6363,0.08319,-0.91757,10.20288
1.6409,-0.03174,-1.23840,9.76234
1.6452,0.45189,-1.17615,9.69052
1.6497,0.76793,-1.59753,9.87248
1.6544,0.14543,-1.89441,9.91080
1.6588,-0.35254,-2.11467,10.01135
1.6631,-0.80266,-1.97581,9.66179
1.6676,-1.07559,-1.88483,9.99698
1.6716,-1.36290,-1.63583,9.95868
1.6760,-1.41557,-1.45866,9.95868
1.6805,-0.77393,-0.99898,9.54208
1.6847,-0.19931,-0.82181,10.06403
1.6896,-0.38127,-0.91278,10.06403
1.6942,-0.65421,-1.14742,9.73840
1.6992,-0.07481,-1.26234,9.83418
1.7028,0.36092,-1.40599,10.01135
1.7073,0.07361,-1.42035,9.82939
1.7242,-0.18495,-1.65977,10.18852
1.7242,-0.00780,-1.31502,9.48941
1.7243,-0.10834,-1.30544,9.90121
1.7247,0.10234,-1.09474,9.80545
1.7291,0.10713,-0.70210,9.87248
1.7340,-0.18974,-0.78349,10.15500
1.7396,-0.74519,-1.19051,9.75278
1.7422,0.38486,-1.28149,9.65701
1.7465,0.09755,-1.65019,10.51413
1.7514,-0.22804,-1.20488,10.19809
1.7555,-0.38606,-1.66457,10.09274
1.7608,0.20769,-1.91356,9.65222
1.7640,-0.11790,-1.99976,9.89163
1.7686,0.01614,-1.53049,9.50856
1.7719,-0.09396,-0.96066,9.67616
1.7766,-0.37648,-0.72125,10.06403
1.7812,-1.01813,-0.98940,10.50934
1.7853,-0.58238,-1.35811,9.34576
1.7898,-1.33896,-1.45866,10.11191
1.7942,-0.81223,-1.52570,9.94910
1.7986,-0.38127,-1.33896,10.45667
1.8042,0.03531,-1.13306,10.13106
1.8080,0.33218,-0.75955,9.82939
1.8121,-0.38606,-0.74040,9.96825
1.8167,-0.02216,-0.97025,9.74799
1.8217,-0.03653,-1.52092,9.78629
1.8264,-0.11313,-1.40599,10.04965
1.8310,0.24599,-1.09953,10.23640
1.8346,0.42316,-1.42035,10.00177
1.8390,-0.38127,-1.70766,9.94431
1.8504,-0.52971,-1.52570,10.21725
1.8557,-0.07002,-1.55922,9.80545
1.8570,0.27951,-1.63104,9.77193
1.8571,0.53329,-1.39641,9.42715
1.8638,0.98341,-1.44908,9.81981
1.8640,0.03531,-1.50655,9.97304
1.8689,-0.32381,-1.06123,10.06403
1.8747,-0.95589,-0.05087,10.07359
1.8799,-1.24797,-0.37169,10.06880
1.8821,-0.54408,-0.00301,9.82460
1.8864,0.27472,0.05446,9.82939
1.8914,0.41359,-0.13228,10.21725
1.8955,1.54843,-0.19931,9.21648
1.9007,2.37683,-0.88405,10.11670
1.9050,1.29465,-1.42035,9.53250
1.9087,1.45267,-1.46346,10.03529
1.9132,1.05045,-0.72125,9.29309
1.9190,0.85413,0.48062,10.16936
1.9214,1.04086,-0.56323,9.71925
1.9256,1.15100,-0.62070,9.99698
1.9302,-0.08919,-0.43394,10.02571
1.9347,-0.02695,0.08798,9.65701
1.9412,-0.69731,-0.43874,10.07838
1.9445,-0.87927,-0.53450,10.50934
1.9486,-0.17058,-0.58238,9.82939
1.9718,-0.00780,-0.69731,10.20767
1.9719,-0.08919,-0.48183,9.50856
1.9719,-0.48662,0.15501,9.68573
1.9719,-0.11790,0.52373,9.81981
1.9727,-0.06047,0.54288,10.25076
1.9754,0.69131,-0.24242,9.69531
1.9811,0.72961,-0.44353,9.99698
1.9835,1.41437,-0.35733,9.70490
1.9881,1.43352,-0.12749,9.95868
1.9943,1.82617,-0.11313,9.64264
1.9962,1.65857,-0.40042,9.63306
2.0006,1.19409,-0.79787,10.50934
2.0050,1.11748,-1.13785,9.70490
2.0096,0.96425,-0.54408,9.58517
2.0142,0.47105,-0.21368,9.60912
2.0185,0.00179,0.67216,9.68095
2.0230,-0.14186,1.01213,9.81502
2.0272,0.45668,0.00658,10.20288
2.0315,0.19810,0.32260,10.15500
2.0359,0.49020,0.43753,10.05923
2.0412,1.33775,-0.86011,9.59476
2.0453,0.92595,-0.13228,9.73840
2.0496,0.87807,-0.42915,9.65222
2.0537,-0.32860,-0.67815,9.60434
2.0583,-0.33818,-0.79787,10.13585
2.0627,0.92116,-0.86011,9.99219
2.0671,1.08397,-0.15143,10.04008
2.0715,0.30824,-0.49141,10.06880
2.0758,0.44232,-1.13785,10.38484
2.0807,-0.40042,-1.27191,10.40399
2.0852,-1.01813,-1.11868,9.89642
2.1022,-0.50577,-0.94151,10.01135
2.1023,-0.81702,-0.66858,9.95389
2.1023,-0.97983,-0.15622,10.26993
2.1023,-0.78349,0.14543,10.08797
2.1066,0.15022,-0.23283,9.65222
2.1105,0.68173,-0.48183,10.71045
2.1161,0.85890,-0.18974,10.04965
2.1200,0.41838,-0.89842,9.95389
2.1235,0.10234,-1.12827,9.31224
2.1278,1.41914,-0.80266,10.26514
2.1348,1.38564,-0.29030,10.03529
2.1374,0.81581,-0.47704,9.81981
2.1413,0.30824,-0.59196,10.41357
2.1456,0.79666,-1.25276,9.99698
2.1500,0.68173,0.31303,9.58997
2.1546,1.29944,-0.13707,9.73363
2.1604,0.72961,-0.12749,9.85812
2.1641,0.92116,-1.01813,9.83896
2.1681,1.00256,-1.00377,9.63785
2.1725,0.77272,-0.93195,10.04965
2.1768,-0.43394,-1.06601,9.90121
2.1805,-1.14742,-0.27592,9.85812
2.1847,-1.18573,-1.02771,10.13106
2.1891,-1.45387,-1.23361,9.92995
2.1935,-0.55844,-3.51289,9.94910
2.2007,-0.55844,-3.83850,9.93474
2.2039,-1.10912,-3.02927,9.84375
2.2115,-1.92314,-1.93750,10.74876
2.2116,-1.24318,-0.33818,9.64264
2.2161,-1.68372,-1.41557,10.02092
2.2334,-1.88005,-0.67337,10.10233
2.2334,-1.89441,-1.25755,7.58841
2.2334,-1.52570,-0.79308,9.19731
2.2361,-1.04686,-0.89842,10.41837
2.2398,-1.27670,-1.48260,10.37526
2.2425,0.72005,-1.47302,9.60912
2.2471,0.48541,-1.07080,10.56201
2.2511,0.59076,-1.17615,10.75833
2.2551,0.64822,-1.64542,9.35533
2.2592,1.51013,-0.03651,10.78706
2.2638,1.71603,1.49577,10.36090
2.2691,0.91158,0.14543,9.35533
2.2732,1.59633,0.01137,9.15422
2.2780,0.32739,-0.07961,8.67059
2.2820,0.74878,0.07840,10.04965
2.2865,1.22762,-0.24719,9.96347
2.2908,-0.14186,-0.29507,10.31302
2.2955,1.14621,0.16937,9.68573
2.2997,1.08397,1.06960,10.00177
2.3041,0.24121,0.48062,9.70490
2.3090,0.22205,0.67216,9.75757
2.3129,-0.44353,0.38007,9.38406
2.3175,-1.38205,0.82060,10.28429
2.3216,-0.75478,1.01213,9.86290
2.3261,-0.85533,1.10791,10.35611
2.3313,-1.03250,1.71124,9.81024
2.3391,0.18854,1.96503,9.58517
2.3401,0.45189,2.17093,9.61391
2.3442,-0.03653,1.64421,9.79108
2.3497,1.27550,2.06079,10.15979
2.3590,0.24599,2.11826,10.25555
2.3590,0.92595,0.97862,9.21169
2.3620,0.84933,0.47583,9.57561
2.3658,0.44232,0.83496,10.18373
2.3696,0.22205,0.79666,9.48462
2.3744,-0.02216,1.51013,9.70967
2.3800,-0.73082,1.85489,10.02092
2.3827,-0.65421,2.61626,10.04486
2.3870,-0.71646,2.55400,9.92036
2.3911,-0.54408,1.82138,9.95868
2.3952,-0.68773,2.35768,10.46146
2.3999,-1.05644,1.51492,10.22203
2.4041,-0.91278,0.66258,9.77193
2.4086,-0.79787,0.82539,9.53250
2.4140,-0.16101,0.68652,9.33139
2.4187,-0.38127,1.65857,9.62828
2.4228,-0.78349,1.95546,10.56680
2.4342,-1.01334,1.58675,9.36012
2.4367,-1.35811,3.61224,10.19809
2.4368,-1.03728,4.07672,9.95868
2.4401,-1.19530,3.72716,9.99698
2.4442,-0.78828,3.66971,10.40399
2.4489,-0.77872,3.81815,10.21246
2.4531,-1.28629,4.25868,9.54208
2.4575,-0.92236,3.83250,10.22682
2.4867,0.28430,2.73596,9.58517
2.4868,0.58118,3.56436,9.47026
2.4870,0.62906,3.00412,10.04008
2.4870,1.47661,2.68808,9.32660
2.4870,2.29063,1.90279,9.93474
2.4870,1.98897,2.02728,8.97226
2.4883,2.54442,2.94186,9.35054
2.4943,2.19008,2.36247,9.18295
2.4967,2.55879,2.32895,10.07838
2.5008,2.25233,1.80701,9.52773
2.5053,1.65378,2.03685,9.54688
2.5096,2.19487,2.53006,10.14064
2.5144,1.69209,2.03685,9.54688
2.5211,1.71603,1.74956,9.55167
2.5235,1.38084,2.01770,10.36569
2.5284,1.51013,2.51570,9.95868
2.5320,1.15100,2.58273,9.90121
2.5367,1.21803,2.07996,10.10233
2.5409,0.75356,2.04164,11.06001
2.5452,0.80145,1.35211,10.75356
2.5497,1.33296,1.02171,9.89163
2.5547,0.73441,1.28508,9.76234
2.5591,0.71526,1.32817,9.31224
2.5633,1.12706,1.62984,10.55244
2.5676,0.71526,1.83095,10.20288
2.5725,0.45668,1.26593,10.10233
2.5762,0.50935,1.04565,9.20689
2.5806,0.94510,0.73441,9.95868
2.5850,1.20367,0.38007,9.73363
2.5900,1.16536,0.00179,9.67137
2.5941,0.92116,0.38007,10.28908
2.6094,0.55244,-0.15622,9.61391
2.6095,0.15022,0.50456,10.22682
2.6108,-0.14664,0.41359,9.17816
2.6114,-0.36212,0.27951,9.87727
2.6156,-0.43394,0.11192,9.65222
2.6238,-0.44353,0.03531,9.85812
2.6238,-0.19452,-0.23763,9.87248
2.6293,-0.20889,-0.12749,10.44710
2.6334,-0.09875,-0.48662,9.44632
2.6371,-0.24242,0.38965,9.86769
2.6413,-0.54408,0.44232,10.41837
2.6456,-0.40042,0.24599,10.11191
2.6500,-0.06525,-0.16580,10.22203
2.6546,0.25557,0.27951,10.33696
2.6590,-0.42915,1.17494,10.61469
2.6642,-0.35254,1.35690,9.24042
2.6683,-0.11790,2.06558,9.71925
2.6730,-0.57281,2.12305,9.77672
2.6775,-0.45309,2.78384,9.88686
2.6816,2.93228,13.60564,10.54286
2.6858,1.91714,10.52669,9.43674
2.6904,-4.64774,2.49654,9.93951
2.6948,-3.44107,-0.72125,9.93474
2.6998,-1.54964,-1.33417,10.03529
2.7044,0.22684,-0.56323,9.95868
2.7084,1.11748,0.83496,9.82460
2.7133,0.12628,1.84532,9.99219
2.7198,-0.74998,1.08397,9.76714
2.7219,-1.37247,0.63864,9.85812
2.7395,-1.61189,0.93074,9.93951
2.7396,-1.22403,1.22282,10.02571
2.7396,-2.13383,1.62027,10.03050
2.7433,-1.87526,1.34254,10.07359
2.7433,-1.46346,1.21803,10.03050
2.7473,-1.36290,1.20847,10.00177
2.7535,-1.19530,0.89243,9.99219
2.7554,-0.96066,0.69131,9.93474
2.7596,-0.70210,0.58118,9.96347
2.7640,-0.61111,0.39444,10.04008
2.7685,-0.59196,0.32739,9.90121
2.7742,-0.37170,0.13107,9.91557
2.7776,-0.07961,-0.10834,9.90601
2.7819,-0.13228,-0.10355,9.89163
2.7862,-0.08919,-0.08919,9.89642
2.7909,-0.02695,-0.04608,9.89642
2.7953,-0.11790,-0.07002,9.93951
2.8001,-0.07481,-0.08440,9.95389
2.8044,-0.11790,-0.08440,10.00656
2.8088,-0.07961,-0.12749,9.88686
2.8125,-0.11313,-0.09396,9.85333
2.8168,-0.05089,-0.08919,9.93474
2.8210,-0.09875,-0.11313,9.88686
2.8253,-0.11313,-0.09875,9.97783
2.8306,-0.08440,-0.10834,9.84854
2.8349,-0.11790,-0.09396,9.91080
2.8399,-0.15143,-0.12749,10.01613
2.8441,-0.08440,-0.07961,9.92516
2.8488,-0.11790,-0.10355,9.95389
2.8519,-0.07961,-0.06523,10.00656
2.8660,-0.07002,-0.08440,9.93474
2.8661,-0.05089,-0.03651,9.83896
2.8672,-0.12270,-0.09396,9.91080
2.8702,-0.06047,-0.07481,9.89163
