time,X_value,Y_value,Z_value
Started:,Aug. 22 2018,10:12:37:936, 
1.5006,0.00119,-0.00038,0.04834
1.5051,-0.00307,0.00175,0.03450
1.5103,-0.00520,0.00175,0.03024
1.5140,0.00119,0.00175,0.00999
1.5184,-0.00200,-0.00038,-0.01662
1.5234,0.00757,0.00815,-0.03366
1.5277,0.00012,0.00282,-0.04538
1.5330,0.00226,0.01027,-0.04645
1.5360,-0.00307,-0.00357,-0.02194
1.5409,-0.00520,-0.00250,-0.00278
1.5449,0.00438,0.00282,0.03769
1.5496,-0.01266,0.00815,0.07817
1.5553,-0.00307,-0.00145,0.10481
1.5589,-0.00307,0.00708,0.13676
1.5639,-0.00200,0.00069,0.14742
1.5701,-0.00946,0.00494,0.13251
1.5738,-0.00095,0.01027,0.12291
1.5758,-0.01266,0.00175,0.11440
1.5991,0.00438,0.00494,0.13251
1.5992,-0.00307,0.00601,0.11014
1.5992,0.00438,0.01027,0.11546
1.5992,-0.01053,-0.00145,0.13676
1.5999,-0.00095,0.00388,0.13676
1.6023,-0.00414,0.00708,0.12823
1.6062,-0.00946,0.00069,0.12079
1.6115,0.00012,-0.00145,0.11865
1.6148,-0.00307,-0.02380,0.14209
1.6195,-0.00520,-0.00677,0.13251
1.6241,-0.00520,0.00601,0.14209
1.6290,0.00333,-0.00145,0.14423
1.6322,-0.00732,-0.00357,0.12823
1.6378,0.00333,-0.00357,0.11226
1.6415,-0.00414,-0.00038,0.11333
1.6452,-0.00627,0.00815,0.06326
1.6497,-0.00839,-0.00784,0.02065
1.6545,-0.00200,0.00601,-0.01022
1.6588,-0.00520,-0.00145,-0.01768
1.6639,-0.01372,-0.00677,0.02811
1.6676,0.00333,-0.00357,0.06752
1.6717,-0.00520,-0.00038,0.13358
1.6760,-0.00732,-0.01210,0.19322
1.6805,-0.00095,-0.01317,0.23370
1.6855,0.00333,-0.01317,0.22517
1.6896,-0.00839,0.00601,0.23903
1.6980,0.00119,-0.00996,0.23689
1.6993,-0.00307,-0.00890,0.23264
